
price,date,exchange,type
2065.55,2022-05-23 07:31:09.121650+00:00,Pancakeswap,scraper
2056.19,2022-05-23 07:31:19.144919+00:00,Pancakeswap,scraper
2073.59,2022-05-23 07:31:24.122534+00:00,Uniswap,scraper
2056.19,2022-05-23 07:31:29.165297+00:00,Pancakeswap,scraper
2056.19,2022-05-23 07:31:39.185982+00:00,Pancakeswap,scraper
2073.59,2022-05-23 07:31:44.150343+00:00,Uniswap,scraper
2056.19,2022-05-23 07:31:49.268819+00:00,Pancakeswap,scraper
2056.19,2022-05-23 07:31:59.301030+00:00,Pancakeswap,scraper
2074.27,2022-05-23 07:32:04.172389+00:00,Uniswap,scraper
2056.19,2022-05-23 07:32:09.318698+00:00,Pancakeswap,scraper
2056.62,2022-05-23 07:32:19.340148+00:00,Pancakeswap,scraper
2074.27,2022-05-23 07:32:24.205174+00:00,Uniswap,scraper
2056.62,2022-05-23 07:32:29.362697+00:00,Pancakeswap,scraper
2056.62,2022-05-23 07:32:39.386992+00:00,Pancakeswap,scraper
2074.13,2022-05-23 07:32:44.240221+00:00,Uniswap,scraper
2056.62,2022-05-23 07:32:49.409341+00:00,Pancakeswap,scraper
2065.47,2022-05-23 07:32:59.428148+00:00,Pancakeswap,scraper
2074.13,2022-05-23 07:33:04.264595+00:00,Uniswap,scraper
2065.63,2022-05-23 07:33:09.451374+00:00,Pancakeswap,scraper
2066.21,2022-05-23 07:33:19.477791+00:00,Pancakeswap,scraper
2074.13,2022-05-23 07:33:24.293839+00:00,Uniswap,scraper
2056.46,2022-05-23 07:33:29.503161+00:00,Pancakeswap,scraper
2067.54,2022-05-23 07:33:39.525487+00:00,Pancakeswap,scraper
2074.13,2022-05-23 07:33:44.310456+00:00,Uniswap,scraper
2067.52,2022-05-23 07:33:49.542162+00:00,Pancakeswap,scraper
2067.51,2022-05-23 07:33:59.565952+00:00,Pancakeswap,scraper
2076.45,2022-05-23 07:34:04.325185+00:00,Uniswap,scraper
2067.29,2022-05-23 07:34:09.579421+00:00,Pancakeswap,scraper
2067.2,2022-05-23 07:34:19.601274+00:00,Pancakeswap,scraper
2076.45,2022-05-23 07:34:24.348189+00:00,Uniswap,scraper
2066.94,2022-05-23 07:34:29.626175+00:00,Pancakeswap,scraper
2066.94,2022-05-23 07:34:39.639830+00:00,Pancakeswap,scraper
2076.45,2022-05-23 07:34:44.382338+00:00,Uniswap,scraper
2056.46,2022-05-23 07:34:49.665157+00:00,Pancakeswap,scraper
2056.46,2022-05-23 07:34:59.686631+00:00,Pancakeswap,scraper
2076.42,2022-05-23 07:35:04.404355+00:00,Uniswap,scraper
2065.88,2022-05-23 07:35:09.711375+00:00,Pancakeswap,scraper
2065.88,2022-05-23 07:35:19.735403+00:00,Pancakeswap,scraper
2076.42,2022-05-23 07:35:24.437563+00:00,Uniswap,scraper
2065.88,2022-05-23 07:35:29.789056+00:00,Pancakeswap,scraper
2065.88,2022-05-23 07:35:39.819274+00:00,Pancakeswap,scraper
2076.25,2022-05-23 07:35:44.478690+00:00,Uniswap,scraper
2064.23,2022-05-23 07:35:49.845617+00:00,Pancakeswap,scraper
2063.71,2022-05-23 07:35:59.871950+00:00,Pancakeswap,scraper
2076.25,2022-05-23 07:36:04.501685+00:00,Uniswap,scraper
2060.69,2022-05-23 07:36:09.897933+00:00,Pancakeswap,scraper
2067.25,2022-05-23 07:36:19.922515+00:00,Pancakeswap,scraper
2076.25,2022-05-23 07:36:24.538067+00:00,Uniswap,scraper
2067.25,2022-05-23 07:36:29.943403+00:00,Pancakeswap,scraper
2067.25,2022-05-23 07:36:39.961292+00:00,Pancakeswap,scraper
2073.02,2022-05-23 07:36:44.555910+00:00,Uniswap,scraper
2067.25,2022-05-23 07:36:49.977399+00:00,Pancakeswap,scraper
2067.55,2022-05-23 07:37:00.000048+00:00,Pancakeswap,scraper
2074.94,2022-05-23 07:37:04.578996+00:00,Uniswap,scraper
2067.55,2022-05-23 07:37:10.029130+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:37:20.040925+00:00,Pancakeswap,scraper
2074.71,2022-05-23 07:37:24.604237+00:00,Uniswap,scraper
2058.84,2022-05-23 07:37:30.058523+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:37:40.080285+00:00,Pancakeswap,scraper
2074.71,2022-05-23 07:37:44.635728+00:00,Uniswap,scraper
2058.84,2022-05-23 07:37:50.096117+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:38:00.122129+00:00,Pancakeswap,scraper
2074.71,2022-05-23 07:38:04.663063+00:00,Uniswap,scraper
2058.84,2022-05-23 07:38:10.146447+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:38:20.161799+00:00,Pancakeswap,scraper
2074.71,2022-05-23 07:38:24.682842+00:00,Uniswap,scraper
2058.84,2022-05-23 07:38:30.183370+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:38:40.203053+00:00,Pancakeswap,scraper
2074.71,2022-05-23 07:38:44.707895+00:00,Uniswap,scraper
2058.84,2022-05-23 07:38:50.221447+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:39:00.244433+00:00,Pancakeswap,scraper
2074.6,2022-05-23 07:39:04.728045+00:00,Uniswap,scraper
2058.84,2022-05-23 07:39:10.268487+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:39:20.289576+00:00,Pancakeswap,scraper
2074.68,2022-05-23 07:39:24.760391+00:00,Uniswap,scraper
2058.84,2022-05-23 07:39:30.315843+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:39:40.336691+00:00,Pancakeswap,scraper
2074.68,2022-05-23 07:39:44.779455+00:00,Uniswap,scraper
2058.84,2022-05-23 07:39:50.357897+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:40:00.381607+00:00,Pancakeswap,scraper
