snapped_at,volume
2021-12-12 13:50:00 +0000,13129052630.471290497178602927641755
2021-12-13 13:50:00 +0000,15148600774.4245881221032078795585067
2021-12-14 13:50:00 +0000,23693773327.155252398329931233818591
2021-12-15 13:50:00 +0000,17870969490.6912396363127103788008098
2021-12-16 13:50:00 +0000,23211893360.4083487698208379870271747
2021-12-17 13:50:00 +0000,18064080784.185852099022094863607847
2021-12-18 13:50:00 +0000,19209738566.9166159548682383588667918
2021-12-19 13:50:00 +0000,12368927492.397559374434673234225203
2021-12-20 13:50:00 +0000,15215120324.7147196984183955211559841
2021-12-21 13:50:00 +0000,19526406982.5077726264659454075358396
2021-12-22 13:50:00 +0000,17355756651.3696397605942926768889263
2021-12-23 13:50:00 +0000,18594911417.4940144674603111367439355
2021-12-24 13:50:00 +0000,21462637403.7631155551523292805876096
2021-12-25 13:50:00 +0000,16997025838.4831298557219266812619691
2021-12-26 13:50:00 +0000,15589381279.7719961857795122402258078
2021-12-27 13:50:00 +0000,15496616674.7449730548465358593470844
2021-12-28 13:50:00 +0000,21593040922.9785946230608463197985176
2021-12-29 13:50:00 +0000,20391987841.2903997216548666263787162
2021-12-30 13:50:00 +0000,17685808231.9910049800375284926035072
2021-12-31 13:50:00 +0000,14109695098.6167265821558228889594376
2022-01-01 13:50:00 +0000,12484600405.2942783014757897509651735
2022-01-02 13:50:00 +0000,10356461416.916532115386950653553122
2022-01-03 13:50:00 +0000,12705510060.852718034523666210512335
2022-01-04 13:50:00 +0000,16275291163.7899143632459599816709729
2022-01-05 13:50:00 +0000,15940457252.7449066249745848313348655
2022-01-06 13:50:00 +0000,27766646044.5077448343557943089881298
2022-01-07 13:50:00 +0000,21772333350.997609710573166244628363
2022-01-08 13:50:00 +0000,14973251560.7092736521818701771718862
2022-01-09 13:50:00 +0000,16327397281.2300478935702186125877684
2022-01-10 13:50:00 +0000,12564675360.3240048289229201332752936
2022-01-11 13:50:00 +0000,18895172595.687256039881300312433863
2022-01-12 13:50:00 +0000,17331858480.7418954767355286250454
2022-01-13 13:50:00 +0000,15963232748.5600006413676348908573432
2022-01-14 13:50:00 +0000,19089735662.1732630592502145855758976
2022-01-15 13:50:00 +0000,12228224055.7834629237782466315277668
2022-01-16 13:50:00 +0000,11179009217.2330422825069616521346662
2022-01-17 13:50:00 +0000,12530806710.6993106158403102448773404
2022-01-18 13:50:00 +0000,14401100777.771246666445778560043682
2022-01-19 13:50:00 +0000,14813357737.3691012804305563566949122
2022-01-20 13:50:00 +0000,11233774980.2340680577220922248444296
2022-01-21 13:50:00 +0000,24181064709.8351480477256840492897192
2022-01-22 13:50:00 +0000,33529296988.5848286953516424380701176
2022-01-23 13:50:00 +0000,18691788097.917033512423968378442187
2022-01-24 13:50:00 +0000,19626609344.4221561356846763415338455
2022-01-25 13:50:00 +0000,20018791640.5249887062901164321827674
2022-01-26 13:50:00 +0000,16050778953.0741429379982381764539494
2022-01-27 13:50:00 +0000,21730653325.3322737015683924835814576
2022-01-28 13:50:00 +0000,15321920721.102572973892877855701071
2022-01-29 13:50:00 +0000,11872148772.4175294344417804026993304
2022-01-30 13:50:00 +0000,9868192003.4937876684200886850586152
2022-01-31 13:50:00 +0000,10510751615.9851067240457502397688142
2022-02-01 13:50:00 +0000,12902959031.2660187410939277217176485
2022-02-02 13:50:00 +0000,10508666777.1140187920512621081431294
2022-02-03 13:50:00 +0000,15205350424.7638011671177943357384584
2022-02-04 13:50:00 +0000,12053188427.3778981118598790436370333
2022-02-05 13:50:00 +0000,18272814474.7470364634262857407528456
2022-02-06 13:50:00 +0000,11480426870.2099387550787387191484376
2022-02-07 13:50:00 +0000,16012010268.6442868932625929352115852
2022-02-08 13:50:00 +0000,24978719915.5914197865650670962440395
2022-02-09 13:50:00 +0000,17242912108.7664062414895891874351909
2022-02-10 13:50:00 +0000,16394199193.4057075974861458133687666
2022-02-11 13:50:00 +0000,20747107440.3226344067927513415839202
